ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111036105,4,2,3,3,0,1
111036203,7,1,3,3,0,1
111036204,8,1,2,2,0,1
111036205,5,2,2,2,0,1
111036301,8,2,3,2,0,1
111036303,7,2,4,4,1,0
111036304,8,1,2,2,0,1
111036401,6,2,2,2,0,1
111036402,8,2,4,4,1,0
111036403,9,1,2,2,0,1
111036404,9,1,2,1,0,1
111036405,7,1,3,3,0,1
111036501,11,1,2,2,0,1
111036503,3,1,3,4,0,0
111036504,11,1,2,2,0,1
111036505,9,2,3,3,0,1
111037101,10,2,3,3,0,1
111037102,11,2,1,1,0,1
111037103,6,2,2,3,0,1
111037104,10,2,2,2,0,1
111037105,5,2,3,3,0,1
111037204,8,2,1,4,0,0
111037301,8,2,2,2,0,1
111037302,4,2,4,4,1,0
111037303,7,2,4,4,1,0
111037305,7,2,3,3,0,1
111037401,5,2,3,4,0,0
111037404,8,2,3,2,0,1
111037405,5,2,3,3,0,1
111037503,5,2,2,2,0,1
111037505,8,2,4,4,1,0
112038101,3,1,2,2,0,1
112038103,7,1,2,1,0,1
112038104,10,1,2,1,0,1
112038105,9,1,3,3,0,1
112038201,5,1,1,1,0,1
112038202,9,1,2,2,0,1
112038203,11,1,1,1,0,1
112038204,5,1,3,2,0,1
112038205,6,1,1,1,0,1
112038301,9,1,3,3,0,1
112038302,8,1,2,2,0,1
112038303,3,1,3,3,0,1
112038305,6,1,3,3,0,1
112038401,8,1,1,2,0,1
112038402,7,1,2,2,0,1
112038403,10,1,2,2,0,1
112038404,9,1,2,2,0,1
112038405,11,1,3,3,0,1
112038501,7,1,2,1,0,1
112038502,6,1,2,3,0,1
112038503,10,1,2,2,0,1
112038504,10,1,2,2,0,1
112039101,8,2,2,2,0,1
112039102,6,2,2,3,0,1
112039103,8,2,4,3,1,1
112039104,6,2,4,4,1,0
112039105,5,2,2,2,0,1
112039201,7,2,2,2,0,1
112039202,6,2,3,4,0,0
112039203,7,2,2,2,0,1
112039204,8,2,2,2,0,1
112039205,8,2,2,2,0,1
112039301,11,1,2,1,0,1
112039302,11,1,1,1,0,1
112039303,8,1,2,2,0,1
112039304,4,1,4,1,1,1
112039401,4,2,2,2,0,1
112039402,6,2,3,3,0,1
112039403,4,2,3,2,0,1
112039501,9,1,3,4,0,0
112039503,8,2,3,3,0,1
112039504,6,2,2,2,0,1
112039505,8,1,1,1,0,1
112040101,9,1,3,4,0,0
112040102,7,1,2,2,0,1
112040103,9,1,1,2,0,1
112040104,7,1,1,1,0,1
112040105,8,1,3,4,0,0
112040201,8,1,1,1,0,1
112040202,8,1,3,3,0,1
112040203,8,1,2,2,0,1
112040204,8,1,3,2,0,1
112040205,9,1,4,4,1,0
112040301,7,1,2,2,0,1
112040302,5,1,3,3,0,1
112040303,9,1,1,2,0,1
112040304,8,1,3,3,0,1
112040305,9,1,3,3,0,1
112040401,7,1,3,2,0,1
112040402,9,1,2,2,0,1
112040403,11,1,2,3,0,1
112040404,8,1,1,1,0,1
112040405,4,1,2,1,0,1
112040501,6,1,3,3,0,1
112040502,8,1,1,1,0,1
112040503,9,1,2,2,0,1
112040504,8,1,2,2,0,1
112040505,8,1,3,2,0,1
112041101,9,2,2,3,0,1
112041102,6,2,3,4,0,0
112041103,4,2,3,3,0,1
112041104,9,2,2,2,0,1
112041105,6,2,3,2,0,1
112041201,8,1,4,4,1,0
112041202,8,1,2,1,0,1
112041203,6,1,1,1,0,1
112041204,1,1,4,4,1,0
112041301,8,1,2,2,0,1
112041302,6,1,2,3,0,1
112041303,5,1,4,4,1,0
112041304,11,1,1,1,0,1
112041305,10,1,2,2,0,1
112041401,8,2,1,2,0,1
112041402,6,2,2,2,0,1
112041404,9,2,3,3,0,1
112041501,8,2,4,4,1,0
112041502,8,2,2,2,0,1
112041503,9,2,2,2,0,1
112041505,4,2,2,2,0,1
112042101,8,1,2,2,0,1
112042103,3,1,2,4,0,0
112042105,8,1,2,2,0,1
112042201,7,1,2,2,0,1
112042202,8,1,4,4,1,0
112042203,8,1,2,4,0,0
112042204,7,1,2,4,0,0
112042205,8,1,4,4,1,0
112042301,7,1,1,1,0,1
112042302,11,1,2,2,0,1
112042303,8,1,2,2,0,1
112042304,11,1,4,4,1,0
112042305,8,1,2,2,0,1
112042401,8,1,4,4,1,0
112042402,11,1,2,3,0,1
112042403,9,1,3,3,0,1
112042501,9,1,3,2,0,1
112042504,9,1,2,2,0,1
113043101,4,1,4,4,1,0
113043104,6,2,2,2,0,1
113043105,11,1,1,1,0,1
113043201,7,2,1,1,0,1
113043202,5,1,2,2,0,1
113043203,4,2,2,2,0,1
113043204,7,1,2,1,0,1
113043301,6,2,3,2,0,1
113043302,6,2,1,1,0,1
113043303,8,1,2,1,0,1
113043304,9,1,2,1,0,1
